age,job,marital,education,balance,previous,deposit
37,management,single,secondary,792,0,1
41,admin.,single,secondary,1020,0,1
47,blue-collar,married,secondary,863,0,1
31,admin.,married,secondary,97,0,1
31,blue-collar,married,secondary,754,0,1
43,services,divorced,secondary,1040,0,1
37,management,divorced,tertiary,122,0,1
30,technician,single,tertiary,880,0,1
41,technician,married,secondary,501,0,1
36,blue-collar,married,secondary,4438,0,1
35,blue-collar,divorced,secondary,0,0,1
29,services,single,secondary,271,0,1
35,blue-collar,married,primary,102,0,1
31,blue-collar,married,secondary,2,0,1
35,services,married,secondary,4170,0,1
34,technician,single,secondary,85,0,1
31,admin.,single,secondary,431,0,1
44,technician,divorced,secondary,982,0,1
36,blue-collar,married,primary,408,0,1
35,blue-collar,married,unknown,4822,0,1
41,blue-collar,married,primary,1250,0,1
31,blue-collar,single,primary,216,0,1
34,blue-collar,married,secondary,1207,0,1
32,technician,married,secondary,791,0,1
36,management,married,tertiary,849,0,1
30,blue-collar,single,secondary,239,0,1
37,technician,single,secondary,1211,0,1
36,blue-collar,married,primary,599,0,1
31,management,single,tertiary,825,0,1
27,technician,married,secondary,2183,0,1
34,retired,married,primary,4499,0,1
30,technician,single,tertiary,1289,0,1
32,technician,single,tertiary,4665,0,1
37,technician,single,secondary,3326,0,1
32,blue-collar,married,secondary,783,0,1
33,blue-collar,married,secondary,0,0,1
35,blue-collar,married,primary,994,0,1
35,self-employed,divorced,tertiary,1354,0,1
30,blue-collar,single,secondary,239,0,1
45,blue-collar,divorced,primary,-311,0,1
45,admin.,married,secondary,149,0,1
33,blue-collar,married,secondary,1464,0,1
44,management,divorced,tertiary,5773,0,1
40,blue-collar,married,primary,278,0,1
31,blue-collar,married,secondary,2910,0,1
30,technician,married,tertiary,541,0,1
44,technician,divorced,secondary,1262,0,1
34,services,married,secondary,-538,0,1
37,blue-collar,married,secondary,125,0,1
28,self-employed,single,tertiary,0,0,1
32,admin.,single,secondary,620,0,1
37,blue-collar,divorced,secondary,316,0,1
34,management,married,tertiary,2287,0,1
38,admin.,divorced,secondary,198,0,1
28,admin.,single,secondary,460,0,1
31,management,divorced,tertiary,1145,0,1
59,services,married,secondary,-22,0,1
24,blue-collar,married,secondary,685,0,1
26,services,single,secondary,901,0,1
59,retired,single,secondary,351,0,1
30,entrepreneur,single,primary,0,0,1
37,admin.,married,secondary,274,0,1
30,admin.,single,secondary,-213,0,1
25,blue-collar,married,secondary,97,0,1
44,services,divorced,secondary,51,0,1
29,management,married,tertiary,314,0,1
26,management,single,tertiary,6840,0,1
26,technician,single,secondary,668,0,1
27,services,single,secondary,54,0,1
25,self-employed,single,secondary,1242,0,1
28,management,married,secondary,292,0,1
23,services,single,secondary,665,0,1
34,management,single,tertiary,1058,0,1
28,student,single,secondary,949,0,1
51,entrepreneur,married,unknown,606,0,1
35,blue-collar,married,secondary,0,0,1
35,admin.,married,secondary,404,0,1
56,blue-collar,married,secondary,249,0,1
45,unemployed,divorced,secondary,3354,0,1
60,blue-collar,divorced,secondary,0,0,1
56,technician,married,secondary,589,0,1
27,management,single,tertiary,12956,0,1
30,admin.,married,secondary,873,0,1
45,blue-collar,divorced,primary,594,0,1
29,blue-collar,single,secondary,-20,0,1
38,management,divorced,tertiary,4692,0,1
30,blue-collar,married,secondary,486,0,1
44,blue-collar,single,primary,1593,0,1
36,management,single,tertiary,7606,0,1
38,technician,married,secondary,226,0,1
36,blue-collar,single,secondary,366,0,1
37,management,divorced,secondary,16,0,1
35,management,single,tertiary,565,0,1
38,admin.,divorced,secondary,19,0,1
40,services,married,primary,1082,0,1
42,unemployed,divorced,secondary,1713,0,1
46,management,divorced,tertiary,14481,0,1
35,technician,divorced,secondary,5724,0,1
34,technician,divorced,secondary,1451,0,1
32,services,married,secondary,-34,0,1
50,unemployed,married,secondary,3674,0,1
35,blue-collar,married,secondary,698,0,1
36,technician,single,secondary,4136,0,1
53,blue-collar,divorced,primary,2656,0,1
46,management,single,tertiary,2904,0,1
26,management,single,tertiary,1004,0,1
45,technician,single,secondary,410,0,1
31,unemployed,divorced,primary,0,0,1
29,management,single,tertiary,0,0,1
53,entrepreneur,single,secondary,62,0,1
27,blue-collar,married,primary,416,0,1
39,management,married,tertiary,2763,0,1
36,services,married,secondary,2984,0,1
41,blue-collar,married,primary,143,0,1
36,services,married,primary,0,0,1
32,technician,married,secondary,696,0,1
35,services,married,secondary,152,0,1
36,management,single,tertiary,-78,0,1
35,management,married,tertiary,867,0,1
30,blue-collar,single,secondary,953,0,1
42,blue-collar,married,secondary,443,0,1
42,technician,single,secondary,-1129,0,1
32,blue-collar,married,primary,415,0,1
29,blue-collar,single,secondary,260,0,1
44,management,divorced,tertiary,-411,0,1
32,technician,single,secondary,1279,0,1
31,unemployed,married,secondary,86,0,1
40,self-employed,married,secondary,-754,0,1
43,entrepreneur,married,secondary,0,0,1
27,management,single,secondary,178,0,1
37,services,single,secondary,278,0,1
23,services,single,secondary,425,0,1
25,management,married,primary,168,0,1
26,blue-collar,single,secondary,-36,0,1
47,blue-collar,divorced,primary,126,0,1
35,admin.,married,secondary,-87,0,1
32,technician,single,tertiary,6281,0,1
45,management,divorced,secondary,644,0,1
30,admin.,divorced,secondary,377,0,1
29,services,single,secondary,-271,0,1
38,blue-collar,married,primary,5839,0,1
23,blue-collar,single,secondary,492,0,1
27,management,single,tertiary,99,0,1
27,management,single,tertiary,-713,0,1
29,services,single,secondary,32,0,1
30,self-employed,married,tertiary,543,0,1
36,blue-collar,married,primary,403,0,1
35,admin.,divorced,secondary,437,0,1
36,blue-collar,married,secondary,1772,0,1
59,retired,divorced,primary,-88,0,1
47,entrepreneur,married,secondary,0,0,1
58,entrepreneur,married,tertiary,853,0,1
37,management,single,tertiary,240,0,1
46,admin.,single,secondary,849,0,1
43,blue-collar,single,secondary,318,0,1
27,management,single,tertiary,703,0,1
38,services,divorced,secondary,61,0,1
53,housemaid,married,primary,104,0,1
47,blue-collar,married,secondary,1996,0,1
56,housemaid,divorced,primary,1238,0,1
41,housemaid,married,secondary,879,0,1
29,self-employed,married,secondary,425,0,1
50,technician,married,secondary,416,0,1
45,blue-collar,divorced,primary,844,0,1
35,blue-collar,married,secondary,860,0,1
26,technician,single,secondary,639,0,1
26,admin.,married,secondary,710,0,1
37,blue-collar,married,unknown,1508,0,1
30,admin.,single,secondary,223,0,1
38,management,single,tertiary,619,0,1
37,services,divorced,secondary,319,0,1
53,technician,married,secondary,480,0,1
29,blue-collar,single,primary,213,0,1
35,management,single,tertiary,68,0,1
28,blue-collar,married,secondary,2788,0,1
55,blue-collar,married,unknown,7561,0,1
49,management,divorced,secondary,-46,0,1
50,services,married,secondary,1595,0,1
43,management,single,tertiary,1046,0,1
58,self-employed,divorced,tertiary,1382,0,1
38,technician,married,primary,217,0,1
48,blue-collar,divorced,primary,183,0,1
59,management,married,secondary,1321,0,1
58,blue-collar,married,secondary,25,0,1
36,self-employed,single,tertiary,4844,0,1
42,entrepreneur,married,tertiary,5345,0,1
41,admin.,single,secondary,812,0,1
42,admin.,married,secondary,105,0,1
39,management,married,tertiary,-190,0,1
57,housemaid,married,primary,625,0,1
52,retired,married,unknown,293,0,1
59,retired,married,unknown,1033,0,1
56,blue-collar,married,secondary,1210,0,1
49,management,married,tertiary,64,0,1
35,blue-collar,divorced,unknown,164,0,1
36,unemployed,married,secondary,1766,0,1
40,admin.,single,tertiary,1248,0,1
55,blue-collar,married,secondary,0,0,1
58,admin.,married,secondary,826,0,1
39,self-employed,married,tertiary,2630,0,1
47,housemaid,single,tertiary,3727,0,1
40,management,married,secondary,406,0,1
35,blue-collar,married,tertiary,2999,0,1
48,blue-collar,married,secondary,1000,0,1
48,management,divorced,tertiary,503,0,1
24,blue-collar,single,secondary,-203,0,1
49,blue-collar,married,primary,361,0,1
36,blue-collar,married,secondary,274,0,1
52,retired,divorced,tertiary,3687,0,1
42,entrepreneur,single,unknown,323,0,1
36,services,married,secondary,981,0,1
36,blue-collar,divorced,secondary,638,0,1
48,unemployed,single,tertiary,3229,0,1
51,management,single,secondary,1610,0,1
51,blue-collar,married,secondary,33,0,1
46,technician,married,secondary,536,0,1
37,management,married,tertiary,0,0,1
36,entrepreneur,married,tertiary,3057,0,1
47,management,married,secondary,2892,0,1
40,technician,divorced,tertiary,0,0,1
38,student,single,tertiary,3316,0,1
40,management,married,secondary,106,0,1
39,blue-collar,married,primary,2303,0,1
60,management,married,tertiary,3301,0,1
39,self-employed,single,tertiary,426,0,1
51,services,divorced,secondary,9,0,1
27,admin.,married,secondary,-97,0,1
41,management,single,tertiary,11008,0,1
42,blue-collar,single,primary,4930,0,1
41,entrepreneur,married,secondary,707,0,1
33,technician,married,secondary,4,0,1
46,admin.,married,secondary,126,0,1
31,blue-collar,married,secondary,671,0,1
41,blue-collar,married,primary,219,0,1
41,blue-collar,divorced,secondary,3622,0,1
55,retired,divorced,secondary,1580,0,1
53,technician,married,secondary,1319,0,1
55,housemaid,married,primary,2152,0,1
39,services,married,secondary,2843,0,1
40,entrepreneur,married,tertiary,0,0,1
59,retired,married,primary,1115,0,1
42,blue-collar,single,secondary,625,0,1
41,blue-collar,married,primary,246,0,1
27,blue-collar,married,secondary,61,0,1
25,blue-collar,single,secondary,-191,0,1
43,unemployed,married,primary,519,0,1
44,services,married,secondary,522,0,1
26,blue-collar,single,secondary,-46,0,1
52,retired,married,tertiary,2269,0,1
54,services,married,unknown,386,0,1
56,management,married,tertiary,0,0,1
57,management,married,tertiary,9103,0,1
29,blue-collar,single,secondary,908,0,1
47,technician,married,tertiary,1694,0,1
57,management,married,tertiary,-92,0,1
40,blue-collar,married,secondary,188,0,1
46,services,divorced,secondary,0,0,1
43,blue-collar,single,secondary,740,0,1
45,management,married,tertiary,655,0,1
24,management,married,secondary,867,0,1
40,blue-collar,married,secondary,1009,0,1
38,services,divorced,unknown,6360,0,1
36,unemployed,married,tertiary,4145,0,1
27,blue-collar,single,secondary,-27,0,1
26,admin.,single,primary,-122,0,1
43,management,married,tertiary,149,0,1
25,blue-collar,single,primary,52,0,1
27,blue-collar,married,tertiary,335,0,1
30,technician,married,tertiary,526,0,1
28,admin.,single,secondary,-7,0,1
27,blue-collar,married,primary,-413,0,1
32,admin.,divorced,secondary,-241,0,1
41,blue-collar,single,secondary,75,0,1
37,technician,single,tertiary,0,0,1
27,technician,single,secondary,158,0,1
29,services,single,secondary,84,0,1
33,services,married,secondary,114,0,1
36,technician,married,primary,0,0,1
28,blue-collar,single,secondary,-127,0,1
55,blue-collar,married,secondary,49,0,1
51,technician,married,secondary,216,0,1
39,technician,single,secondary,506,0,1
42,blue-collar,divorced,primary,213,0,1
33,services,single,secondary,170,0,1
36,entrepreneur,divorced,tertiary,776,0,1
45,technician,married,secondary,879,0,1
37,self-employed,married,secondary,1633,0,1
46,unemployed,married,secondary,926,0,1
32,self-employed,single,tertiary,2559,0,1
28,technician,single,secondary,909,0,1
45,admin.,divorced,secondary,-176,0,1
41,blue-collar,single,secondary,1085,0,1
59,blue-collar,divorced,primary,1265,0,1
47,technician,single,secondary,-239,0,1
31,blue-collar,single,secondary,726,0,1
31,management,single,tertiary,296,0,1
33,entrepreneur,married,secondary,-627,0,1
52,entrepreneur,married,tertiary,-468,0,1
26,self-employed,single,secondary,551,0,1
25,technician,single,secondary,0,0,1
25,blue-collar,married,secondary,101,0,1
28,blue-collar,single,secondary,517,0,1
33,entrepreneur,divorced,tertiary,37,0,1
45,management,divorced,tertiary,854,0,1
36,services,married,secondary,30,0,1
26,blue-collar,single,secondary,81,0,1
38,technician,married,secondary,0,0,1
56,blue-collar,single,secondary,663,0,1
26,admin.,single,secondary,102,0,1
26,technician,married,secondary,370,0,1
25,blue-collar,single,secondary,189,0,1
26,unemployed,single,secondary,111,0,1
40,blue-collar,married,primary,665,0,1
37,admin.,married,primary,214,0,1
43,blue-collar,single,primary,0,0,1
41,services,divorced,tertiary,1583,0,1
49,blue-collar,married,secondary,0,0,1
29,admin.,divorced,tertiary,0,0,1
39,services,divorced,secondary,687,0,1
38,management,married,tertiary,327,0,1
26,technician,married,secondary,-119,0,1
32,management,married,tertiary,794,0,1
33,blue-collar,married,primary,-191,0,1
31,management,single,tertiary,409,0,1
49,blue-collar,married,primary,3,0,1
27,unemployed,single,primary,9,0,1
30,blue-collar,single,secondary,155,0,1
35,blue-collar,married,secondary,1330,0,1
26,blue-collar,single,secondary,-29,0,1
45,entrepreneur,married,unknown,3133,0,1
34,admin.,married,secondary,-33,0,1
28,admin.,single,secondary,-170,0,1
25,blue-collar,single,secondary,1243,0,1
30,blue-collar,single,secondary,1598,0,1
30,services,married,secondary,5,0,1
47,services,married,secondary,367,0,1
57,admin.,divorced,secondary,658,0,1
38,management,married,tertiary,1722,0,1
54,technician,married,secondary,-315,0,1
25,blue-collar,single,primary,2483,0,1
30,blue-collar,married,secondary,0,0,1
26,management,single,tertiary,45,0,1
31,student,married,primary,46,0,1
29,blue-collar,single,secondary,482,0,1
49,blue-collar,married,secondary,3728,0,1
60,retired,divorced,secondary,1099,0,1
60,management,married,tertiary,2222,0,1
29,management,single,tertiary,983,0,1
55,management,divorced,secondary,204,0,1
44,admin.,married,secondary,1074,0,1
47,technician,married,secondary,3466,0,1
35,admin.,married,secondary,-203,0,1
35,entrepreneur,married,secondary,2436,0,1
38,technician,married,secondary,976,0,1
34,entrepreneur,married,tertiary,146,0,1
50,technician,married,secondary,156,0,1
43,admin.,married,tertiary,189,0,1
44,admin.,divorced,secondary,163,0,1
51,services,divorced,secondary,242,0,1
31,technician,married,secondary,1173,0,1
39,technician,married,tertiary,0,0,1
59,management,married,tertiary,296,0,1
25,services,single,secondary,333,0,1
58,management,married,tertiary,3864,0,1
30,entrepreneur,married,primary,2686,0,1
34,blue-collar,single,primary,-109,0,1
51,services,divorced,secondary,65,0,1
60,retired,married,secondary,597,0,1
51,entrepreneur,married,secondary,-799,0,1
37,management,divorced,tertiary,1775,0,1
30,blue-collar,single,primary,0,0,1
46,entrepreneur,divorced,secondary,-563,0,1
29,student,single,tertiary,5,0,1
27,entrepreneur,married,tertiary,139,0,1
28,management,single,tertiary,0,0,1
34,blue-collar,single,secondary,855,0,1
29,blue-collar,single,unknown,694,0,1
27,management,single,tertiary,151,0,1
26,technician,single,secondary,354,0,1
36,management,married,tertiary,673,0,1
44,blue-collar,married,primary,1265,0,1
39,blue-collar,married,tertiary,597,0,1
30,technician,married,secondary,-393,0,1
31,unemployed,divorced,tertiary,256,0,1
56,blue-collar,married,primary,0,0,1
29,blue-collar,married,secondary,2870,0,1
43,blue-collar,married,secondary,184,0,1
32,blue-collar,married,secondary,1905,0,1
30,admin.,single,secondary,-36,0,1
40,blue-collar,married,secondary,-839,0,1
42,services,married,secondary,3465,0,1
27,student,married,secondary,119,0,1
35,management,married,tertiary,36,0,1
35,housemaid,married,primary,113,0,1
32,blue-collar,single,secondary,118,0,1
39,technician,married,secondary,251,0,1
31,blue-collar,divorced,secondary,-277,0,1
26,services,single,secondary,-189,0,1
42,management,married,tertiary,4,0,1
27,services,single,secondary,1820,0,1
33,self-employed,divorced,secondary,1904,0,1
51,blue-collar,married,primary,201,0,1
33,admin.,married,secondary,0,0,1
30,technician,single,tertiary,178,0,1
52,housemaid,married,primary,3798,0,1
42,blue-collar,divorced,primary,301,0,1
31,management,divorced,tertiary,294,0,1
27,services,married,secondary,0,0,1
44,blue-collar,single,secondary,292,0,1
40,entrepreneur,divorced,secondary,2998,0,1
46,housemaid,divorced,primary,2084,0,1
32,services,divorced,secondary,454,0,1
56,technician,divorced,secondary,179,0,1
33,blue-collar,married,secondary,661,0,1
33,blue-collar,married,secondary,89,0,1
32,self-employed,married,primary,102,0,1
41,blue-collar,divorced,primary,138,0,1
31,admin.,single,secondary,622,0,1
30,admin.,divorced,secondary,10,0,1
34,admin.,divorced,secondary,-251,0,1
43,entrepreneur,married,secondary,104,0,1
28,blue-collar,married,secondary,173,0,1
32,admin.,divorced,secondary,-46,0,1
31,blue-collar,divorced,secondary,0,0,1
35,entrepreneur,single,tertiary,145,0,1
31,management,married,tertiary,325,0,1
25,services,single,secondary,2311,0,1
56,retired,divorced,tertiary,158,0,1
47,technician,married,secondary,1981,0,1
39,management,married,tertiary,1423,0,1
51,management,married,tertiary,2455,0,1
54,technician,divorced,secondary,859,0,1
58,retired,married,unknown,9004,0,1
42,unemployed,married,unknown,970,0,1
56,services,married,primary,486,0,1
55,housemaid,married,secondary,127,0,1
26,blue-collar,single,primary,409,0,1
40,admin.,single,secondary,664,0,1
26,technician,single,secondary,223,0,1
35,management,single,tertiary,-324,0,1
34,services,single,secondary,-30,0,1
41,management,single,tertiary,1253,0,1
44,management,married,primary,4758,0,1
33,management,single,tertiary,30,0,1
36,management,divorced,tertiary,81,0,1
38,technician,married,secondary,0,0,1
35,technician,married,tertiary,328,0,1
41,technician,single,tertiary,145,0,1
41,management,divorced,unknown,465,0,1
28,blue-collar,married,secondary,751,0,1
26,services,married,secondary,-379,0,1
39,blue-collar,single,secondary,0,0,1
25,admin.,married,unknown,349,0,1
37,admin.,married,secondary,1110,0,1
25,management,married,secondary,2228,0,1
46,management,divorced,tertiary,2166,0,1
25,blue-collar,single,secondary,-247,0,1
28,technician,single,tertiary,-123,0,1
33,services,divorced,secondary,44,0,1
32,management,single,secondary,131,0,1
32,blue-collar,married,secondary,476,0,1
47,technician,single,secondary,1101,0,1
50,entrepreneur,married,tertiary,-168,0,1
27,technician,married,secondary,-392,0,1
45,admin.,married,secondary,524,0,1
51,admin.,single,secondary,895,0,1
36,admin.,married,secondary,212,0,1
51,self-employed,married,secondary,95,0,1
33,services,single,tertiary,395,0,1
59,technician,married,secondary,135,0,1
38,entrepreneur,married,tertiary,0,0,1
40,services,married,secondary,471,0,1
51,blue-collar,married,primary,603,0,1
41,entrepreneur,single,secondary,663,0,1
38,entrepreneur,married,secondary,593,0,1
31,management,married,tertiary,1224,0,1
28,admin.,single,secondary,2,0,1
41,blue-collar,married,secondary,720,0,1
33,management,divorced,tertiary,990,0,1
25,student,single,secondary,1747,0,1
45,admin.,divorced,secondary,59,0,1
31,blue-collar,married,primary,33,0,1
28,services,single,secondary,340,0,1
49,technician,divorced,secondary,305,0,1
25,services,married,secondary,0,0,1
28,unemployed,single,tertiary,497,0,1
54,retired,married,secondary,1371,0,1
28,technician,single,tertiary,1628,0,1
27,technician,single,tertiary,372,0,1
49,blue-collar,single,primary,566,0,1
53,blue-collar,married,primary,343,0,1
26,technician,single,secondary,941,0,1
37,services,married,secondary,775,0,1
34,blue-collar,single,secondary,1759,0,1
51,retired,married,primary,1495,0,1
39,housemaid,married,secondary,1444,0,1
35,technician,single,tertiary,470,0,1
51,unemployed,married,primary,1162,0,1
30,management,single,tertiary,2,0,1
42,blue-collar,single,primary,1628,0,1
54,management,married,secondary,1134,0,1
51,blue-collar,married,primary,0,0,1
57,retired,divorced,primary,63,0,1
30,management,married,tertiary,1221,0,1
37,blue-collar,single,secondary,5024,0,1
39,technician,married,secondary,10685,0,1
35,technician,married,tertiary,1629,0,1
48,management,married,secondary,268,0,1
31,management,married,tertiary,0,0,1
35,self-employed,married,secondary,5613,0,1
48,housemaid,married,secondary,513,0,1
53,housemaid,married,primary,362,0,1
27,technician,single,secondary,3933,0,1
55,technician,married,secondary,3899,0,1
40,services,married,secondary,473,0,1
40,self-employed,single,tertiary,1616,0,1
38,blue-collar,divorced,secondary,1817,0,1
54,retired,single,secondary,129,0,1
54,technician,married,secondary,1938,0,1
50,admin.,single,secondary,133,0,1
48,management,divorced,tertiary,2263,0,1
41,services,married,unknown,1538,0,1
51,blue-collar,divorced,primary,5,0,1
42,technician,single,tertiary,2625,0,1
58,retired,divorced,secondary,1080,0,1
47,unemployed,married,secondary,312,0,1
58,admin.,married,secondary,145,0,1
41,blue-collar,married,secondary,-190,0,1
50,admin.,married,secondary,2678,0,1
46,housemaid,married,secondary,271,0,1
44,blue-collar,married,secondary,0,0,1
36,services,married,secondary,0,0,1
58,management,divorced,secondary,3161,0,1
44,unemployed,single,primary,-4,0,1
49,entrepreneur,divorced,unknown,-701,0,1
55,management,married,tertiary,-375,0,1
52,unemployed,married,primary,959,0,1
60,retired,divorced,secondary,1091,0,1
41,services,married,unknown,-1,0,1
36,management,married,tertiary,96,0,1
41,blue-collar,divorced,primary,0,0,1
50,entrepreneur,married,tertiary,230,0,1
44,housemaid,married,primary,-156,0,1
54,technician,married,secondary,114,0,1
35,management,married,tertiary,-468,0,1
59,retired,divorced,secondary,679,0,1
42,entrepreneur,married,unknown,206,0,1
27,management,single,tertiary,1,0,1
59,housemaid,divorced,primary,2518,0,1
43,admin.,married,secondary,378,0,1
39,technician,single,secondary,391,0,1
33,unemployed,married,secondary,-144,0,1
36,self-employed,single,tertiary,1240,0,1
35,blue-collar,divorced,primary,1792,0,1
50,blue-collar,married,unknown,2284,0,1
55,technician,married,secondary,264,0,1
51,unemployed,divorced,tertiary,0,0,1
48,entrepreneur,married,tertiary,-392,0,1
55,housemaid,divorced,primary,77,0,1
30,services,married,secondary,48,0,1
53,blue-collar,married,primary,252,0,1
40,blue-collar,married,secondary,1954,0,1
44,technician,married,primary,755,0,1
49,management,divorced,tertiary,755,0,1
40,admin.,married,secondary,341,0,1
58,unemployed,married,primary,1183,0,1
49,services,married,secondary,388,0,1
38,technician,married,secondary,1919,0,1
51,housemaid,divorced,tertiary,1613,0,1
36,management,divorced,tertiary,0,0,1
55,retired,married,secondary,0,0,1
43,technician,married,tertiary,0,0,1
60,management,divorced,secondary,0,0,1
57,retired,married,secondary,466,0,1
41,technician,married,tertiary,515,0,1
50,technician,married,tertiary,2313,0,1
53,blue-collar,married,secondary,-8,0,1
59,retired,married,primary,1634,0,1
59,housemaid,married,primary,100,0,1
52,unknown,married,unknown,5361,0,1
58,management,divorced,tertiary,1257,0,1
59,retired,married,primary,3400,0,1
49,technician,single,secondary,1377,0,1
33,management,divorced,tertiary,2885,0,1
55,blue-collar,married,primary,512,0,1
42,technician,married,tertiary,921,0,1
52,services,married,secondary,1000,0,1
38,technician,married,tertiary,202,0,1
55,technician,married,tertiary,169,0,1
49,technician,married,tertiary,3726,0,1
56,technician,divorced,secondary,146,0,1
46,technician,married,secondary,940,0,1
57,retired,divorced,tertiary,734,0,1
61,retired,married,secondary,77,0,1
45,admin.,married,secondary,925,0,1
39,management,married,tertiary,1836,0,1
46,admin.,married,secondary,660,0,1
43,management,single,tertiary,1304,0,1
34,services,married,secondary,2956,0,1
35,management,divorced,tertiary,146,0,1
36,management,divorced,tertiary,36,0,1
45,management,divorced,tertiary,1,0,1
47,technician,married,secondary,2480,0,1
42,technician,married,tertiary,14282,0,1
40,management,single,tertiary,0,0,1
40,technician,divorced,secondary,311,0,1
32,technician,married,secondary,560,0,1
33,technician,single,secondary,3059,0,1
32,self-employed,married,tertiary,1423,0,1
46,blue-collar,married,primary,874,0,1
50,admin.,married,secondary,706,0,1
51,blue-collar,married,primary,7098,0,1
30,management,single,tertiary,5389,0,1
39,technician,single,secondary,1104,0,1
47,admin.,married,secondary,3070,0,1
40,technician,divorced,secondary,0,0,1
50,blue-collar,married,primary,4108,0,1
60,management,married,tertiary,0,0,1
32,management,single,tertiary,4291,0,1
57,technician,married,tertiary,6822,0,1
41,self-employed,married,tertiary,231,0,1
50,technician,married,secondary,3176,0,1
46,technician,divorced,secondary,-824,0,1
31,management,married,tertiary,676,0,1
36,technician,single,secondary,651,0,1
45,technician,divorced,secondary,2657,0,1
33,technician,divorced,secondary,801,0,1
47,services,married,secondary,405,0,1
35,management,married,tertiary,82,0,1
38,management,married,tertiary,179,0,1
33,management,married,tertiary,1047,0,1
44,technician,single,secondary,7138,0,1
31,management,single,tertiary,165,0,1
31,management,single,tertiary,37,0,1
49,services,married,secondary,823,0,1
52,services,married,primary,1625,0,1
31,technician,married,tertiary,120,0,1
35,management,married,tertiary,2957,0,1
31,management,single,tertiary,2,0,1
36,technician,divorced,secondary,1,0,1
39,management,married,tertiary,1795,0,1
46,management,married,tertiary,4,0,1
48,blue-collar,married,primary,476,0,1
36,management,married,tertiary,9,0,1
30,management,married,tertiary,131,0,1
33,management,single,tertiary,1120,0,1
57,housemaid,married,primary,2785,0,1
33,management,single,tertiary,0,0,1
35,management,married,tertiary,43,0,1
53,management,married,tertiary,0,0,1
41,management,married,secondary,456,0,1
32,management,single,secondary,2018,0,1
