outcome,purpose_,dti,borrower_score,payment_inc_ratio
0,credit_card,14.92,0.45,5.0533
1,debt_consolidation,22.71,0.45,7.848
1,debt_consolidation,12.9,0.45,4.26716
0,debt_consolidation,4.0,0.65,3.0785
1,debt_consolidation,32.4,0.6,11.2352
0,debt_consolidation,12.78,0.5,3.7549
1,debt_consolidation,17.12,0.35,14.3483
1,other,16.06,0.7,4.0812
1,credit_card,19.72,0.4,17.9856
0,debt_consolidation,15.17,0.4,7.3297
0,debt_consolidation,15.94,0.5,6.84339
1,credit_card,14.28,0.55,6.34571
0,credit_card,14.64,0.75,5.21777
0,debt_consolidation,8.45,0.4,5.36139
0,debt_consolidation,20.79,0.7,6.69905
1,debt_consolidation,7.14,0.55,9.426
1,debt_consolidation,22.17,0.55,5.49931
0,credit_card,10.19,0.45,2.3468
0,home_improvement,17.18,0.6,3.914
0,other,18.6,0.6,7.76373
0,debt_consolidation,20.89,0.55,6.32734
0,debt_consolidation,12.89,0.55,8.856
0,credit_card,15.95,0.55,9.87171
1,other,1.77,0.35,0.221906
0,debt_consolidation,17.0,0.55,6.43735
0,other,13.06,0.5,9.72069
0,debt_consolidation,25.38,0.3,7.80829
1,debt_consolidation,22.83,0.5,17.8067
1,debt_consolidation,22.47,0.65,1.56019
1,credit_card,11.64,0.6,13.6776
0,home_improvement,13.91,0.7,2.32229
0,debt_consolidation,29.97,0.55,14.73
0,credit_card,25.42,0.75,5.77415
1,debt_consolidation,27.5,0.6,14.7003
1,debt_consolidation,18.72,0.5,6.8932
1,home_improvement,15.41,0.5,12.804
0,debt_consolidation,20.96,0.7,9.01168
1,credit_card,29.07,0.3,15.0219
0,debt_consolidation,14.92,0.7,3.31182
1,debt_consolidation,15.33,0.65,10.9084
0,other,15.69,0.4,1.64076
0,major_purchase,0.6,0.6,5.9967
1,debt_consolidation,8.95,0.55,5.82789
0,credit_card,5.61,0.6,3.56895
0,debt_consolidation,25.41,0.6,13.3063
1,small_business,1.57,0.35,9.58608
1,major_purchase,19.11,0.45,2.3757
1,other,30.6,0.45,15.6752
0,other,12.53,0.6,2.07563
1,small_business,25.23,0.75,12.9764
1,debt_consolidation,24.82,0.35,10.5487
1,debt_consolidation,21.91,0.5,5.06023
1,debt_consolidation,13.03,0.6,11.1843
1,debt_consolidation,13.65,0.55,14.8086
1,debt_consolidation,7.75,0.7,9.5474
0,other,8.02,0.7,8.983
1,debt_consolidation,16.71,0.5,8.64794
1,debt_consolidation,15.14,0.35,12.765
0,debt_consolidation,4.86,0.7,1.86972
0,credit_card,30.18,0.5,8.74125
0,debt_consolidation,15.51,0.55,1.40852
0,major_purchase,23.25,0.45,2.89577
0,debt_consolidation,8.42,0.35,5.36218
0,debt_consolidation,9.06,0.4,16.3538
1,debt_consolidation,26.13,0.35,9.93493
0,debt_consolidation,18.08,0.5,5.12226
0,debt_consolidation,22.42,0.45,4.42144
0,small_business,1.53,0.85,9.12639
0,debt_consolidation,10.34,0.55,9.59132
0,other,3.27,0.7,2.3808
0,debt_consolidation,8.36,0.75,10.5946
1,small_business,9.36,0.55,12.842
0,major_purchase,4.8,0.65,2.64634
0,other,15.62,0.6,2.74391
0,other,19.82,0.4,1.1994
0,credit_card,12.85,0.5,5.19513
1,other,20.25,0.35,9.52015
1,debt_consolidation,18.89,0.7,10.4786
1,home_improvement,11.42,0.4,5.8448
0,debt_consolidation,26.7,0.5,4.05608
1,debt_consolidation,30.49,0.5,15.2105
1,debt_consolidation,28.54,0.55,12.249
0,debt_consolidation,17.28,0.45,9.73952
0,credit_card,20.95,0.55,6.92815
0,debt_consolidation,14.84,0.45,10.498
1,debt_consolidation,6.6,0.65,2.34771
1,credit_card,20.35,0.3,7.00434
0,credit_card,16.44,0.4,5.8395
1,debt_consolidation,24.53,0.65,8.23981
1,home_improvement,5.31,0.65,13.8591
0,debt_consolidation,22.25,0.45,15.3531
1,credit_card,32.47,0.55,14.1573
1,debt_consolidation,20.4,0.4,13.4863
0,major_purchase,4.17,0.5,11.8167
0,debt_consolidation,15.4,0.45,9.38945
0,debt_consolidation,21.26,0.55,6.32148
0,home_improvement,11.96,0.8,5.7156
0,debt_consolidation,10.26,0.35,8.6841
1,home_improvement,18.07,0.45,13.7863
0,debt_consolidation,34.22,0.45,6.18238
0,debt_consolidation,20.78,0.45,12.8735
0,major_purchase,9.95,0.65,4.93873
1,debt_consolidation,31.44,0.3,8.7597
1,debt_consolidation,14.19,0.35,14.2467
0,major_purchase,5.8,0.6,13.9073
0,credit_card,27.03,0.35,13.0978
0,debt_consolidation,26.94,0.35,9.44329
1,credit_card,24.53,0.45,9.324
1,debt_consolidation,16.62,0.55,1.02219
1,debt_consolidation,18.23,0.35,9.34686
0,major_purchase,8.48,0.65,13.5378
1,credit_card,31.47,0.25,5.7633
1,debt_consolidation,30.21,0.55,14.9661
1,other,13.05,0.45,2.98871
1,credit_card,25.68,0.6,5.5959
1,debt_consolidation,20.08,0.4,11.7156
1,debt_consolidation,9.41,0.45,18.7111
1,debt_consolidation,20.18,0.35,5.37207
0,debt_consolidation,25.11,0.65,3.55103
0,debt_consolidation,17.88,0.7,8.256
0,credit_card,28.68,0.6,10.8857
0,debt_consolidation,19.9,0.6,8.35773
0,debt_consolidation,15.43,0.35,12.2883
1,debt_consolidation,28.05,0.25,11.1024
0,debt_consolidation,12.58,0.4,7.26547
1,debt_consolidation,18.9,0.5,12.2311
0,credit_card,19.14,0.75,11.6989
0,credit_card,17.11,0.6,3.7334
0,credit_card,16.2,0.45,6.85706
1,credit_card,18.64,0.5,6.54497
1,debt_consolidation,11.76,0.35,13.6452
1,small_business,9.01,0.55,10.392
1,small_business,3.34,0.4,4.38495
0,debt_consolidation,12.11,0.6,1.73435
1,debt_consolidation,24.07,0.55,5.28554
0,debt_consolidation,1.78,0.8,2.93568
1,debt_consolidation,28.24,0.55,14.7165
0,debt_consolidation,20.5,0.45,7.83609
0,debt_consolidation,18.42,0.6,6.4902
0,other,4.46,0.65,3.64344
1,major_purchase,13.12,0.6,2.9444
1,debt_consolidation,11.56,0.35,7.419
1,other,8.81,0.6,5.4984
1,credit_card,22.02,0.55,12.3024
1,debt_consolidation,21.51,0.45,6.17376
0,debt_consolidation,21.28,0.5,13.9751
1,debt_consolidation,8.96,0.65,9.92129
0,debt_consolidation,13.46,0.4,10.738
0,debt_consolidation,9.74,0.65,8.6754
0,other,12.86,0.5,4.01918
0,credit_card,12.73,0.5,5.5112
1,debt_consolidation,14.62,0.25,7.05826
1,debt_consolidation,20.98,0.5,6.12592
0,small_business,8.25,0.6,18.0194
0,medical,12.68,0.6,4.6159
0,debt_consolidation,19.05,0.5,11.3316
0,debt_consolidation,3.09,0.6,13.4129
1,debt_consolidation,23.95,0.6,10.3743
1,other,18.84,0.45,11.4735
0,debt_consolidation,12.9,0.55,5.61375
1,credit_card,30.62,0.35,17.148
0,major_purchase,1.6,0.6,3.65013
0,debt_consolidation,14.96,0.45,4.89453
0,small_business,26.32,0.7,10.4992
1,debt_consolidation,7.08,0.65,7.9152
1,major_purchase,18.94,0.6,1.61712
0,debt_consolidation,24.08,0.25,10.5838
0,credit_card,14.42,0.55,11.8053
0,debt_consolidation,15.36,0.55,9.9629
0,credit_card,13.38,0.65,4.32488
1,debt_consolidation,22.4,0.3,10.292
0,credit_card,20.1,0.65,8.95638
0,debt_consolidation,2.4,0.5,12.5697
0,debt_consolidation,14.56,0.5,3.67249
1,credit_card,28.5,0.45,13.684
1,other,19.27,0.5,8.25303
1,credit_card,10.39,0.5,14.7803
1,small_business,18.53,0.55,13.2622
1,credit_card,13.59,0.55,6.21969
1,debt_consolidation,20.42,0.35,2.92173
1,major_purchase,31.38,0.4,9.87241
1,debt_consolidation,1.9,0.6,9.31464
1,debt_consolidation,20.74,0.5,15.9866
1,home_improvement,7.97,0.35,2.812
0,debt_consolidation,10.32,0.7,7.28686
0,other,8.73,0.5,4.05845
1,credit_card,22.95,0.5,5.85316
1,credit_card,5.06,0.65,5.79371
0,other,16.03,0.6,1.59227
1,debt_consolidation,15.65,0.5,13.6269
0,debt_consolidation,3.61,0.55,6.66802
1,debt_consolidation,15.48,0.55,7.80207
1,home_improvement,12.5,0.3,7.85243
1,debt_consolidation,15.21,0.35,7.5477
0,home_improvement,27.0,0.55,3.2804
0,debt_consolidation,6.91,0.6,5.34156
0,debt_consolidation,23.47,0.3,9.01915
1,debt_consolidation,20.7,0.4,10.2752
1,debt_consolidation,14.5,0.55,9.73937
1,credit_card,20.16,0.55,7.54292
0,debt_consolidation,7.66,0.5,6.27684
0,credit_card,17.64,0.5,6.29513
1,debt_consolidation,29.1,0.45,4.9742
0,debt_consolidation,26.65,0.6,7.10312
1,debt_consolidation,15.22,0.45,2.96174
0,credit_card,27.2,0.45,10.647
0,debt_consolidation,12.44,0.4,7.3812
0,credit_card,18.48,0.35,8.2386
0,debt_consolidation,14.6,0.5,4.75458
1,debt_consolidation,18.67,0.5,8.4345
1,other,26.19,0.4,8.76715
1,credit_card,25.56,0.55,13.0568
0,debt_consolidation,19.8,0.35,14.2904
0,credit_card,14.47,0.7,5.004
1,medical,12.32,0.6,2.4496
1,debt_consolidation,3.69,0.55,10.5177
1,debt_consolidation,15.38,0.5,13.6751
1,major_purchase,17.78,0.35,11.6987
1,debt_consolidation,10.99,0.55,15.4858
0,other,18.85,0.5,2.65774
0,other,8.04,0.6,1.22181
0,debt_consolidation,7.25,0.55,1.39167
0,home_improvement,15.18,0.4,8.57051
0,debt_consolidation,18.55,0.5,2.56693
1,other,11.29,0.45,1.15662
1,debt_consolidation,8.4,0.45,6.83489
0,credit_card,17.85,0.75,3.67865
0,credit_card,6.77,0.7,2.5472
1,other,23.07,0.25,10.5348
0,credit_card,10.5,0.6,6.63397
1,credit_card,4.92,0.25,6.9228
1,debt_consolidation,15.84,0.35,6.301
1,credit_card,6.85,0.4,11.2825
0,small_business,4.29,0.75,6.7236
1,debt_consolidation,9.04,0.65,7.92
0,debt_consolidation,21.28,0.4,8.73943
1,debt_consolidation,22.92,0.45,15.6826
0,credit_card,16.86,0.45,7.02786
1,debt_consolidation,21.64,0.35,9.05709
0,debt_consolidation,19.57,0.45,1.81311
1,debt_consolidation,15.31,0.55,4.1162
1,other,21.05,0.3,10.7214
1,debt_consolidation,14.9,0.65,9.37479
1,home_improvement,21.02,0.6,1.54555
1,debt_consolidation,19.1,0.5,9.68263
0,debt_consolidation,21.29,0.55,12.9909
1,debt_consolidation,26.88,0.55,6.95778
1,debt_consolidation,23.31,0.25,11.0486
0,debt_consolidation,11.28,0.5,6.33615
0,debt_consolidation,19.79,0.4,13.7794
0,debt_consolidation,27.35,0.5,15.6204
0,debt_consolidation,9.8,0.65,10.7096
1,debt_consolidation,11.76,0.45,7.11028
1,debt_consolidation,25.72,0.55,6.5518
1,debt_consolidation,16.9,0.4,7.20789
0,debt_consolidation,12.87,0.55,6.84488
1,debt_consolidation,22.75,0.45,15.6242
0,debt_consolidation,20.82,0.3,5.78931
1,credit_card,31.37,0.3,13.7596
1,credit_card,18.96,0.6,11.2556
0,debt_consolidation,4.34,0.6,15.6288
1,debt_consolidation,19.05,0.6,11.7108
0,other,9.3,0.5,5.97877
1,debt_consolidation,18.83,0.3,15.3997
1,other,23.54,0.6,6.11705
0,credit_card,11.35,0.6,10.1808
0,debt_consolidation,12.06,0.4,9.71347
0,debt_consolidation,7.61,0.55,6.93212
1,debt_consolidation,17.37,0.35,11.8301
1,credit_card,23.57,0.25,9.76664
1,other,22.59,0.3,8.60563
1,credit_card,13.99,0.6,7.23671
1,debt_consolidation,18.14,0.55,6.00792
1,small_business,16.25,0.55,13.8282
0,major_purchase,11.62,0.45,11.7425
0,debt_consolidation,13.27,0.2,10.0546
0,debt_consolidation,12.86,0.5,2.98576
0,debt_consolidation,3.01,0.8,2.59615
1,credit_card,11.64,0.4,11.4516
1,credit_card,5.22,0.5,5.4784
1,other,13.62,0.35,4.98068
0,debt_consolidation,12.51,0.55,2.86044
0,major_purchase,2.67,0.75,3.15823
1,debt_consolidation,7.65,0.55,12.2145
0,debt_consolidation,17.13,0.55,6.0009
1,small_business,18.05,0.3,14.5118
1,debt_consolidation,22.26,0.5,12.3945
1,credit_card,10.11,0.6,7.72683
1,debt_consolidation,9.26,0.3,6.00706
1,debt_consolidation,24.47,0.2,13.2092
0,debt_consolidation,12.8,0.65,11.4377
0,other,17.41,0.65,5.62189
1,debt_consolidation,18.08,0.35,9.01318
1,debt_consolidation,27.94,0.5,2.94343
0,debt_consolidation,10.43,0.35,12.1267
0,major_purchase,4.7,0.4,10.315
0,debt_consolidation,6.44,0.5,10.3219
1,debt_consolidation,17.84,0.4,11.5579
0,debt_consolidation,17.24,0.55,2.67084
1,small_business,1.74,0.5,3.162
1,credit_card,24.54,0.6,9.927
0,credit_card,14.23,0.6,3.96991
1,credit_card,24.94,0.4,5.03481
1,debt_consolidation,21.11,0.65,14.2437
1,debt_consolidation,20.83,0.5,12.9859
1,debt_consolidation,8.0,0.35,4.13987
0,home_improvement,3.93,0.5,17.4627
0,debt_consolidation,15.68,0.4,10.1611
0,home_improvement,10.1,0.65,4.3732
0,debt_consolidation,6.17,0.75,9.16837
0,credit_card,15.95,0.6,6.33946
1,debt_consolidation,27.86,0.2,12.9418
1,medical,25.16,0.55,3.83926
0,debt_consolidation,7.88,0.6,7.98258
0,debt_consolidation,13.7,0.3,22.6191
1,debt_consolidation,10.45,0.45,7.06985
1,debt_consolidation,11.55,0.65,7.52902
1,credit_card,18.24,0.7,6.8164
0,home_improvement,23.81,0.45,12.2553
0,debt_consolidation,13.4,0.65,7.24258
0,debt_consolidation,7.44,0.6,5.42753
1,debt_consolidation,20.79,0.55,22.115
0,debt_consolidation,22.79,0.25,5.16229
0,debt_consolidation,12.55,0.4,12.598
1,debt_consolidation,15.89,0.25,6.8892
0,other,6.68,0.65,7.7102
0,debt_consolidation,8.86,0.5,10.3917
0,debt_consolidation,9.65,0.4,12.7766
0,major_purchase,11.69,0.6,4.93108
1,debt_consolidation,16.71,0.3,7.14653
0,credit_card,9.19,0.4,9.05727
0,other,19.0,0.5,2.83967
1,other,1.81,0.45,3.58221
1,debt_consolidation,16.46,0.6,19.8697
0,debt_consolidation,16.9,0.5,12.5162
0,debt_consolidation,20.92,0.45,16.1361
1,debt_consolidation,17.64,0.15,4.56918
1,other,20.6,0.55,2.492
0,debt_consolidation,4.57,0.65,12.8105
1,debt_consolidation,9.51,0.45,6.50486
0,debt_consolidation,4.88,0.4,14.6031
1,credit_card,9.07,0.35,8.68467
1,other,10.06,0.45,6.48754
1,debt_consolidation,21.07,0.45,13.4654
0,debt_consolidation,9.9,0.65,7.45761
1,debt_consolidation,4.32,0.3,19.3852
1,debt_consolidation,14.68,0.35,5.46918
0,debt_consolidation,17.82,0.6,14.654
1,debt_consolidation,2.0,0.55,3.72225
0,debt_consolidation,16.8,0.45,15.1014
1,debt_consolidation,15.83,0.5,18.7884
1,debt_consolidation,22.91,0.6,2.96168
1,debt_consolidation,16.11,0.55,8.29323
0,debt_consolidation,21.27,0.6,11.794
0,small_business,19.28,0.45,3.31511
0,debt_consolidation,27.5,0.5,15.6117
0,other,1.22,0.6,9.04786
0,credit_card,7.58,0.55,3.31895
0,debt_consolidation,15.7,0.45,4.0378
0,debt_consolidation,27.36,0.5,10.6959
0,small_business,11.91,0.6,8.5536
1,debt_consolidation,34.42,0.25,14.2227
0,major_purchase,3.73,0.75,1.82505
1,credit_card,21.74,0.35,16.7124
0,home_improvement,4.61,0.75,3.40907
0,debt_consolidation,8.42,0.5,1.43438
0,credit_card,17.8,0.6,7.9847
1,other,7.8,0.65,26.3774
0,debt_consolidation,20.43,0.5,0.620435
1,debt_consolidation,15.72,0.55,5.67686
0,debt_consolidation,14.54,0.55,4.95716
1,debt_consolidation,22.66,0.4,11.9713
1,debt_consolidation,28.83,0.35,15.8037
0,home_improvement,1.4,0.75,6.32283
1,debt_consolidation,34.8,0.4,4.979
0,debt_consolidation,19.31,0.65,3.50976
0,credit_card,23.89,0.35,14.4332
0,credit_card,11.24,0.45,2.63793
0,debt_consolidation,17.33,0.6,4.57867
1,small_business,20.82,0.4,7.02986
1,other,14.46,0.6,13.5671
0,credit_card,31.97,0.65,12.7082
0,debt_consolidation,7.37,0.7,3.39382
1,credit_card,22.77,0.45,10.4489
0,credit_card,4.08,0.35,12.7198
0,debt_consolidation,34.5,0.6,17.1074
1,debt_consolidation,3.71,0.7,17.6285
1,home_improvement,23.16,0.4,16.7333
0,debt_consolidation,31.46,0.55,6.02089
1,small_business,3.83,0.7,1.54892
0,debt_consolidation,23.75,0.5,11.1064
0,credit_card,28.84,0.55,15.2285
0,small_business,9.75,0.6,9.1833
1,debt_consolidation,17.73,0.4,11.9376
0,debt_consolidation,26.04,0.5,2.6748
1,debt_consolidation,29.74,0.7,13.5303
1,debt_consolidation,24.87,0.35,11.0149
1,other,15.82,0.6,5.84483
1,debt_consolidation,28.35,0.55,14.4017
0,small_business,3.55,0.55,6.27051
1,debt_consolidation,16.06,0.55,9.8388
1,credit_card,9.56,0.6,15.0589
1,credit_card,7.61,0.35,13.4329
1,debt_consolidation,13.59,0.4,6.8579
0,credit_card,26.27,0.65,6.85872
0,home_improvement,5.72,0.4,4.2945
0,debt_consolidation,17.19,0.5,8.53174
1,debt_consolidation,13.16,0.65,18.3491
0,debt_consolidation,13.23,0.55,11.638
0,debt_consolidation,18.03,0.4,8.89998
1,major_purchase,13.29,0.6,9.68083
0,debt_consolidation,27.59,0.35,13.4203
1,other,24.55,0.4,10.6685
1,debt_consolidation,15.37,0.65,15.6452
1,debt_consolidation,26.71,0.55,5.014
1,debt_consolidation,20.63,0.45,5.455
0,debt_consolidation,10.8,0.5,8.2476
0,credit_card,13.11,0.7,8.3316
0,other,23.04,0.45,2.40163
0,debt_consolidation,9.29,0.35,6.38013
1,debt_consolidation,16.28,0.6,11.8099
0,debt_consolidation,33.23,0.4,5.65539
1,debt_consolidation,7.02,0.5,7.96064
1,debt_consolidation,32.65,0.45,14.047
0,other,19.21,0.5,4.016
0,other,16.29,0.5,4.97984
1,debt_consolidation,20.28,0.45,10.3618
1,debt_consolidation,21.74,0.55,5.82531
0,debt_consolidation,20.15,0.45,7.90636
1,debt_consolidation,10.62,0.4,11.5608
1,debt_consolidation,24.94,0.5,5.96382
0,debt_consolidation,8.74,0.65,4.58914
0,debt_consolidation,16.53,0.45,13.1003
0,home_improvement,20.46,0.45,15.525
0,other,23.65,0.45,5.80435
1,debt_consolidation,14.5,0.6,3.187
1,credit_card,21.83,0.5,12.4035
0,debt_consolidation,19.15,0.65,1.34023
0,debt_consolidation,13.73,0.35,12.6484
1,home_improvement,17.43,0.35,8.1165
1,debt_consolidation,16.3,0.5,10.9215
0,debt_consolidation,19.3,0.55,16.7572
0,debt_consolidation,21.34,0.5,10.3997
0,debt_consolidation,34.13,0.25,18.4214
0,credit_card,14.82,0.25,7.82267
0,debt_consolidation,13.77,0.65,6.80795
0,credit_card,3.94,0.5,8.0856
0,credit_card,16.45,0.55,2.14863
1,credit_card,24.7,0.55,6.32418
1,debt_consolidation,10.13,0.55,9.01509
1,debt_consolidation,26.91,0.75,13.2818
0,debt_consolidation,16.49,0.75,14.2334
1,debt_consolidation,29.04,0.3,8.44104
1,other,18.9,0.45,5.068
0,debt_consolidation,9.86,0.45,9.38712
1,debt_consolidation,26.79,0.5,3.97914
1,debt_consolidation,21.69,0.4,8.35957
1,debt_consolidation,20.72,0.3,14.2325
1,debt_consolidation,24.55,0.45,15.0464
0,home_improvement,18.61,0.7,7.4994
0,small_business,2.76,0.6,16.0556
1,credit_card,22.96,0.3,4.435
0,credit_card,11.19,0.55,7.47885
0,debt_consolidation,14.79,0.45,3.85957
1,debt_consolidation,16.91,0.4,9.94594
0,credit_card,25.14,0.4,3.34782
1,debt_consolidation,23.86,0.8,11.5867
0,major_purchase,12.25,0.65,2.4128
0,debt_consolidation,13.61,0.65,11.6345
1,other,0.22,0.45,9.70171
0,other,20.33,0.5,8.33064
1,debt_consolidation,15.0,0.45,7.8366
0,other,4.24,0.65,12.0472
1,credit_card,9.16,0.7,5.43183
1,debt_consolidation,21.58,0.45,8.80175
1,debt_consolidation,20.28,0.35,13.6681
1,home_improvement,13.33,0.6,15.2208
0,debt_consolidation,29.57,0.7,4.41514
0,home_improvement,7.41,0.6,4.8274
1,debt_consolidation,31.52,0.25,14.9893
1,debt_consolidation,3.95,0.35,8.41493
1,debt_consolidation,29.65,0.5,12.7859
1,home_improvement,16.22,0.4,6.26416
1,debt_consolidation,22.94,0.45,11.8157
0,debt_consolidation,12.11,0.6,1.79208
0,debt_consolidation,10.55,0.55,4.93975
1,major_purchase,14.98,0.7,2.8408
0,debt_consolidation,11.16,0.45,6.88157
1,debt_consolidation,10.93,0.25,6.17568
0,debt_consolidation,17.85,0.65,4.14344
0,home_improvement,18.46,0.65,8.3552
0,other,21.65,0.7,3.41769
1,debt_consolidation,14.12,0.4,7.46681
1,other,6.9,0.45,3.23067
1,small_business,8.5,0.3,6.66822
1,other,15.14,0.4,6.81315
0,credit_card,21.74,0.4,12.8332
1,debt_consolidation,21.83,0.4,3.45117
1,credit_card,17.04,0.55,18.252
0,debt_consolidation,12.28,0.45,7.51214
0,debt_consolidation,11.05,0.45,3.56463
0,debt_consolidation,20.49,0.6,9.52044
0,debt_consolidation,6.3,0.8,2.93329
0,credit_card,11.43,0.4,3.91871
1,debt_consolidation,10.52,0.3,11.3684
0,other,17.16,0.65,2.22768
0,debt_consolidation,15.44,0.35,11.052
1,debt_consolidation,27.47,0.45,8.54583
1,debt_consolidation,6.85,0.65,10.6469
1,debt_consolidation,21.8,0.7,7.89548
1,debt_consolidation,20.96,0.6,15.2179
0,debt_consolidation,22.22,0.7,1.8262
1,debt_consolidation,7.86,0.45,10.5562
0,debt_consolidation,17.34,0.45,9.39172
0,debt_consolidation,21.9,0.55,2.35527
0,debt_consolidation,6.18,0.6,3.42268
1,debt_consolidation,14.25,0.35,5.1689
0,credit_card,20.0,0.55,6.5328
1,credit_card,8.61,0.55,5.8128
0,debt_consolidation,21.65,0.4,10.8477
1,debt_consolidation,18.02,0.35,14.4902
1,debt_consolidation,11.63,0.45,4.01591
1,debt_consolidation,19.62,0.4,13.1492
1,debt_consolidation,7.2,0.65,4.0832
1,credit_card,13.5,0.45,9.46525
1,debt_consolidation,17.37,0.45,8.74548
1,home_improvement,22.63,0.5,11.0157
0,debt_consolidation,15.92,0.55,4.3864
1,credit_card,20.81,0.45,1.86859
0,credit_card,16.91,0.5,14.5938
0,debt_consolidation,20.33,0.4,2.31257
0,debt_consolidation,22.81,0.7,7.86265
1,debt_consolidation,14.9,0.55,10.4258
0,debt_consolidation,19.73,0.45,6.69671
1,debt_consolidation,3.26,0.55,4.9814
1,debt_consolidation,27.44,0.35,6.884
0,debt_consolidation,29.92,0.8,3.10272
0,major_purchase,18.53,0.4,1.74975
0,home_improvement,13.51,0.8,1.26846
1,credit_card,21.08,0.6,18.7267
1,small_business,4.25,0.65,7.11404
1,debt_consolidation,8.49,0.55,3.70653
1,credit_card,11.09,0.4,11.0899
0,debt_consolidation,10.03,0.3,6.86583
1,home_improvement,25.5,0.35,2.32625
0,credit_card,19.6,0.4,14.723
1,debt_consolidation,12.27,0.55,13.6237
1,debt_consolidation,19.82,0.4,2.22711
1,debt_consolidation,22.32,0.55,8.3847
1,debt_consolidation,33.63,0.4,18.9266
1,home_improvement,14.2,0.3,2.19975
0,credit_card,10.12,0.4,3.50452
1,credit_card,15.69,0.45,3.1193
0,other,9.07,0.8,12.4181
0,debt_consolidation,15.0,0.55,14.7456
1,other,18.46,0.3,5.03748
1,credit_card,17.27,0.4,12.1857
0,credit_card,15.74,0.6,3.321
0,debt_consolidation,12.91,0.5,11.5172
0,debt_consolidation,20.7,0.45,4.74356
1,debt_consolidation,27.56,0.3,6.8036
1,credit_card,20.31,0.45,10.1241
1,debt_consolidation,22.96,0.6,7.19192
1,home_improvement,3.26,0.5,1.01851
1,debt_consolidation,24.99,0.35,10.2
0,small_business,14.96,0.4,1.35106
1,credit_card,14.37,0.2,13.3586
0,credit_card,10.77,0.5,10.1669
0,debt_consolidation,13.68,0.4,7.8722
0,debt_consolidation,2.0,0.6,3.60836
0,debt_consolidation,21.65,0.55,9.02328
0,credit_card,13.76,0.7,11.7677
0,credit_card,23.1,0.35,17.1497
1,credit_card,19.58,0.45,12.2528
0,debt_consolidation,24.4,0.4,4.3794
0,debt_consolidation,22.09,0.6,7.72842
0,debt_consolidation,31.14,0.55,9.29468
0,debt_consolidation,25.38,0.3,12.1161
1,debt_consolidation,13.36,0.6,6.15938
0,other,3.3,0.65,4.8146
1,other,16.41,0.5,2.39527
0,debt_consolidation,13.33,0.55,5.4589
1,major_purchase,11.63,0.5,1.85257
0,other,23.38,0.55,4.01974
1,small_business,25.03,0.5,4.05024
1,debt_consolidation,16.67,0.55,11.9562
0,debt_consolidation,23.64,0.4,11.4246
0,debt_consolidation,12.4,0.65,4.633
0,debt_consolidation,24.17,0.6,6.48681
0,other,20.83,0.3,6.2946
0,debt_consolidation,17.16,0.55,9.61636
0,debt_consolidation,12.0,0.35,11.1455
0,debt_consolidation,6.0,0.6,5.84107
